省份,城市,City,常住人口万人_全市,常住人口万人_市辖区,常住人口城镇化率_全市
北京市,北京市,Beijing,2186,2186,87.83
天津市,天津市,Tianjin,1364,1364,85.49
河北省,  石家庄市, Shijiazhuang,1123,578,72.28
河北省,  唐山市, Tangshan,772,380,66.71
河北省,  秦皇岛市, Qinhuangdao,311,189,66.43
河北省,  邯郸市, Handan,917,366,61.44
河北省,  邢台市, Xingtai,696,210,56.32
河北省,  保定市, Baoding,1149,335,59.45
河北省,  张家口市, Zhangjiakou,405,173,68.35
河北省,  承德市, Chengde,330,73,59.12
河北省,  沧州市, Cangzhou,726,79,54.14
河北省,  廊坊市, Langfang,548,112,66.81
河北省,  衡水市, Hengshui,416,114,57.42
山西省,  太原市, Taiyuan,545,468,89.50
山西省,  大同市, Datong,308,204,74.44
山西省,  阳泉市, Yangquan,130,72,73.01
山西省,  长治市, Changzhi,313,169,59.12
山西省,  晋城市, Jincheng,217,59,65.04
山西省,  朔州市, Shuozhou,158,71,64.26
山西省,  晋中市, Jinzhong,338,126,62.52
山西省,  运城市, Yuncheng,471,99,52.53
山西省,  忻州市, Xinzhou,263,58,56.53
山西省,  临汾市, Linfen,389,95,55.91
山西省,  吕梁市, Lvliang,335,47,56.10
内蒙古自治区,  呼和浩特市, Hohhot,360,272,80.72
内蒙古自治区,  包头市, Baotou,276,234,87.56
内蒙古自治区,  乌海市, Wuhai,56,56,96.38
内蒙古自治区,  赤峰市, Chifeng,397,146,55.57
内蒙古自治区,  通辽市, Tongliao,281,70,51.89
内蒙古自治区,  鄂尔多斯市, Erdos,222,71,79.19
内蒙古自治区,  呼伦贝尔市, Hulunbuir,217,44,75.76
内蒙古自治区,  巴彦淖尔市, Bayannur,150,59,61.65
内蒙古自治区,  乌兰察布市, Ulanqab,160,43,61.94
辽宁省,  沈阳市, Shenyang,85.12,,
辽宁省,  大连市, Dalian,754,589,82.93
辽宁省,  鞍山市, Anshan,322,151,75.81
辽宁省,  抚顺市, Fushun,175,124,79.57
辽宁省,  本溪市, Benxi,125,81,80.51
辽宁省,  丹东市, Dandong,209,77,70.26
辽宁省,  锦州市, Jinzhou,263,108,61.34
辽宁省,  营口市, Yingkou,227,115,68.56
辽宁省,  阜新市, Fuxin,157,72,62.96
辽宁省,  辽阳市, Liaoyang,153,85,68.40
辽宁省,  盘锦市, Panjin,138,116,78.71
辽宁省,  铁岭市, Tieling,226,37,57.12
辽宁省,  朝阳市, Chaoyang,279,69,51.68
辽宁省,  葫芦岛市, Huludao,234,91,56.62
吉林省,  长春市, Changchun,910,590,68.18
吉林省,  吉林市, Jilin,353,186,65.57
吉林省,  四平市, Siping,167,58,53.25
吉林省,  辽源市, Liaoyuan,94,44,59.82
吉林省,  通化市, Tonghua,120,42,62.51
吉林省,  白山市, Baishan,90,42,80.30
吉林省,  松原市, Songyuan,213,69,48.69
吉林省,  白城市, Baicheng,147,46,56.18
黑龙江省,  哈尔滨市, Harbin,978,692,71.82
黑龙江省,  齐齐哈尔市, Qiqihar,386,135,55.24
黑龙江省,  鸡西市, Jixi,142,64,74.66
黑龙江省,  鹤岗市, Hegang,85,52,84.44
黑龙江省,  双鸭山市, Shuangyashan,115,38,70.68
黑龙江省,  大庆市, Daqing,270,172,73.90
黑龙江省,  伊春市, Yichun,82,34,85.38
黑龙江省,  佳木斯市, Jiamusi,208,83,66.68
黑龙江省,  七台河市, Qitaihe,66,47,79.02
黑龙江省,  牡丹江市, Mudanjiang,222,91,66.95
黑龙江省,  黑河市, Heihe,123,22,66.90
黑龙江省,  绥化市, Suihua,356,67,45.40
上海市,上海市,Shanghai,2487,2487,89.50
江苏省,  南京市, Nanjing,955,955,87.20
江苏省,  无锡市, Wuxi,750,443,83.31
江苏省,  徐州市, Xuzhou,902,362,67.60
江苏省,  常州市, Changzhou,538,457,78.50
江苏省,  苏州市, Suzhou,1296,684,82.50
江苏省,  南通市, Nantong,775,383,72.60
江苏省,  连云港市, Lianyungang,459,224,64.00
江苏省,  淮安市, Huai'an,454,284,67.70
江苏省,  盐城市, Yancheng,669,237,66.30
江苏省,  扬州市, Yangzhou,459,266,72.80
