省份,城市,City,年末户籍人口
河北省,  辛集市, Xinji,62
河北省,  晋州市, Jinzhou,57
河北省,  新乐市, Xinle,52
河北省,  遵化市, Zunhua,74
河北省,  迁安市, Qian' an,77
河北省,  滦州市, Luanzhou,56
河北省,  武安市, Wu'an,86
河北省,  南宫市, Nangong,50
河北省,  沙河市, Shahe,47
河北省,  涿州市, Zhuozhou,70
河北省,  定州市, Dingzhou,123
河北省,  安国市, Anguo,41
河北省,  高碑店市, Gaobeidian,57
河北省,  平泉市, Pingquan,47
河北省,  泊头市, Botou,62
河北省,  任丘市, Renqiu,81
河北省,  黄骅市, Huanghua,49
河北省,  河间市, Hejian,90
河北省,  霸州市, Bazhou,66
河北省,  三河市, Sanhe,78
河北省,  深州市, Shenzhou,54
山西省,  古交市, Gujiao,21
山西省,  高平市, Gaoping,48
山西省,  怀仁市, Huairen,30
山西省,  介休市, Jiexiu,45
山西省,  永济市, Yongji,44
山西省,  河津市, Hejin,40
山西省,  原平市, Yuanping,47
山西省,  侯马市, Houma,24
山西省,  霍州市, Huozhou,30
山西省,  孝义市, Xiaoyi,50
山西省,  汾阳市, Fenyang,43
内蒙古自治区,  霍林郭勒市, Huolinguole,8
内蒙古自治区,  满洲里市, Manzhouli,9
内蒙古自治区,  牙克石市, Yakeshi,30
内蒙古自治区,  扎兰屯市, Zhalantun,39
内蒙古自治区,  额尔古纳市, Eerguna,8
内蒙古自治区,  根河市, Genhe,12
内蒙古自治区,  丰镇市, Fengzhen,30
内蒙古自治区,  乌兰浩特市, Wulanhaote,32
内蒙古自治区,  阿尔山市, Aershan,4
内蒙古自治区,  二连浩特市, Erlianhaote,4
内蒙古自治区,  锡林浩特市, Xilinhaote,21
辽宁省,  新民市, Xinmin,63
辽宁省,  瓦房店市, Wafangdian,94
辽宁省,  庄河市, Zhuanghe,84
辽宁省,  海城市, Haicheng,103
辽宁省,  东港市, Donggang,57
辽宁省,  凤城市, Fengcheng,53
辽宁省,  凌海市, Linghai,48
辽宁省,  北镇市, Beizhen,47
辽宁省,  盖州市, Gaizhou,65
辽宁省,  大石桥市, Dashiqiao,66
辽宁省,  灯塔市, Dengta,42
辽宁省,  调兵山市, Diaobingshan,21
辽宁省,  开原市, Kaiyuan,53
辽宁省,  北票市, Beipiao,52
辽宁省,  凌源市, Lingyuan,62
辽宁省,  兴城市, Xingcheng,51
吉林省,  榆树市, Yushu,118
吉林省,  德惠市, Dehui,85
吉林省,  公主岭市, Gongzhuling,100
吉林省,  蛟河市, Jiaohe,39
吉林省,  桦甸市, Huadian,40
吉林省,  舒兰市, Shulan,58
吉林省,  磐石市, Panshi,48
吉林省,  双辽市, Shuangliao,38
吉林省,  梅河口市, Meihekou,57
吉林省,  集安市, Ji'an,20
吉林省,  临江市, Linjiang,14
吉林省,  扶余市, Fuyu,70
吉林省,  洮南市, Taonan,39
吉林省,  大安市, Daan,36
吉林省,  延吉市, Yanji,57
吉林省,  图们市, Tumen,10
吉林省,  敦化市, Dunhua,43
吉林省,  珲春市, Hunchun,22
吉林省,  龙井市, Longjing,14
吉林省,  和龙市, Helong,15
黑龙江省,  尚志市, Shangzhi,54
黑龙江省,  五常市, Wuchang,87
黑龙江省,  讷河市, Nehe,67
黑龙江省,  虎林市, Hulin,26
黑龙江省,  密山市, Mishan,37
黑龙江省,  铁力市, Tieli,27
黑龙江省,  同江市, Tongjiang,17
黑龙江省,  富锦市, Fujin,44
黑龙江省,  抚远市, Fuyuan,8
黑龙江省,  绥芬河市, Suifenhe,7
黑龙江省,  海林市, Hailin,33
黑龙江省,  宁安市, Ning'an,39
黑龙江省,  穆棱市, Muling,25
黑龙江省,  东宁市, Dongning,19
黑龙江省,  北安市, Bei'an,40
黑龙江省,  五大连池市, Wudalianchi,32
黑龙江省,  嫩江市, Nenjiang,43
黑龙江省,  安达市, Anda,43
黑龙江省,  肇东市, Zhaodong,83
黑龙江省,  海伦市, Hailun,73
黑龙江省,  漠河市, Mohe,6
江苏省,  江阴市, Jiangyin,127
江苏省,  宜兴市, Yixing,106
江苏省,  新沂市, Xinyi,109
江苏省,  邳州市, Pizhou,190
江苏省,  溧阳市, Liyang,78
江苏省,  常熟市, Changshu,105
江苏省,  张家港市, Zhangjiagang,92
江苏省,  昆山市, Kunshan,126
江苏省,  太仓市, Taicang,54
江苏省,  启东市, Qidong,107
江苏省,  如皋市, Rugao,138
江苏省,  海安市, Haian,89
江苏省,  东台市, Dongtai,103
江苏省,  仪征市, Yizheng,54
江苏省,  高邮市, Gaoyou,77
江苏省,  丹阳市, Danyang,78
江苏省,  扬中市, Yangzhong,28
江苏省,  句容市, Jurong,58
江苏省,  兴化市, Xinghua,147
江苏省,  靖江市, Jingjiang,63
江苏省,  泰兴市, Taixing,113
浙江省,  建德市, Jiande,50
浙江省,  余姚市, Yuyao,83
浙江省,  慈溪市, Cixi,107
浙江省,  瑞安市, Rui'an,125
浙江省,  乐清市, Yueqing,131
浙江省,  龙港市, Longgang,38
浙江省,  海宁市, Haining,72
浙江省,  平湖市, Pinghu,52
浙江省,  桐乡市, Tongxiang,72
浙江省,  诸暨市, Zhuji,107
浙江省,  嵊州市, Shengzhou,70
浙江省,  兰溪市, Lanxi,65
浙江省,  义乌市, Yiwu,91
浙江省,  东阳市, Dongyang,85
浙江省,  永康市, Yongkang,63
浙江省,  江山市, Jiangshan,60
浙江省,  温岭市, Wenling,121
浙江省,  临海市, Linhai,119
浙江省,  玉环市, Yuhuan,44
浙江省,  龙泉市, Longquan,29
安徽省,  巢湖市, Chaohu,84
安徽省,  无为市, Wuwei,121
安徽省,  桐城市, Tongcheng,74
安徽省,  潜山市, Qianshan,59
安徽省,  天长市, Tianchang,63
安徽省,  明光市, Mingguang,63
安徽省,  界首市, Jieshou,83
安徽省,  宁国市, Ningguo,38
安徽省,  广德市, Guangde,51
福建省,  福清市, Fuqing,141
福建省,  永安市, Yong'an,32
福建省,  石狮市, Shishi,38
福建省,  晋江市, Jinjiang,126
福建省,  南安市, Nan'an,166
福建省,  邵武市, Shaowu,30
福建省,  武夷山市, Wuyishan,25
福建省,  建瓯市, Jian'ou,53
福建省,  漳平市, Zhangping,29
福建省,  福安市, Fu'an,67
福建省,  福鼎市, Fuding,60
江西省,  乐平市, Leping,94
