省份,城市,City,一般公共预算收入,一般公共预算支出
河北省,  辛集市, Xinji,301990,748471
河北省,  晋州市, Jinzhou,147113,369083
河北省,  新乐市, Xinle,144764,334495
河北省,  遵化市, Zunhua,200122,562447
河北省,  迁安市, Qian'an,668100,902748
河北省,  滦州市, Luanzhou,278217,446487
河北省,  武安市, Wu'an,503515,868803
河北省,  南宫市, Nangong,65891,303773
河北省,  沙河市, Shahe,144986,298596
河北省,  涿州市, Zhuozhou,293325,714565
河北省,  定州市, Dingzhou,335850,904872
河北省,  安国市, Anguo,87591,251550
河北省,  高碑店市, Gaobeidian,159292,474446
河北省,  平泉市, Pingquan,76060,360318
河北省,  泊头市, Botou,124515,353726
河北省,  任丘市, Renqiu,473522,552346
河北省,  黄骅市, Huanghua,720602,903841
河北省,  河间市, Hejian,162933,460692
河北省,  霸州市, Bazhou,241909,619796
河北省,  三河市, Sanhe,548945,864820
河北省,  深州市, Shenzhou,126611,374288
山西省,  古交市, Gujiao,221295,325830
山西省,  高平市, Gaoping,525088,797098
山西省,  怀仁市, Huairen,225698,442334
山西省,  介休市, Jiexiu,355762,569700
山西省,  永济市, Yongji,54269,327469
山西省,  河津市, Hejin,227066,420231
山西省,  原平市, Yuanping,125746,403400
山西省,  侯马市, Houma,60271,234941
山西省,  霍州市, Huozhou,58958,232625
山西省,  孝义市, Xiaoyi,456360,615852
山西省,  汾阳市, Fenyang,324340,497159
内蒙古自治区,  霍林郭勒市, Huolinguole,172545,304716
内蒙古自治区,  满洲里市, Manzhouli,70753,407031
内蒙古自治区,  牙克石市, Yakeshi,38177,348588
内蒙古自治区,  扎兰屯市, Zhalantun,62421,501505
内蒙古自治区,  额尔古纳市, Eerguna,20900,188411
内蒙古自治区,  根河市, Genhe,8634,156422
内蒙古自治区,  丰镇市, Fengzhen,61093,337086
内蒙古自治区,  乌兰浩特市, Wulanhaote,110714,390390
内蒙古自治区,  阿尔山市, Aershan,9296,219200
内蒙古自治区,  二连浩特市, Erlianhaote,27921,214796
内蒙古自治区,  锡林浩特市, Xilinhaote,370937,508414
辽宁省,  新民市, Xinmin,161587,524534
辽宁省,  瓦房店市, Wafangdian,727122,1085261
辽宁省,  庄河市, Zhuanghe,623526,872367
