省份,城市,City,普通中学在校学生数,普通小学在校学生数
河北省,  辛集市, Xinji,35914,44353
河北省,  晋州市, Jinzhou,28097,44386
河北省,  新乐市, Xinle,38906,42199
河北省,  遵化市, Zunhua,52621,56499
河北省,  迁安市, Qian'an,52254,75398
河北省,  滦州市, Luanzhou,26636,41400
河北省,  武安市, Wu'an,66346,89508
河北省,  南宫市, Nangong,37570,41835
河北省,  沙河市, Shahe,33883,53321
河北省,  涿州市, Zhuozhou,36707,56052
河北省,  定州市, Dingzhou,80922,87379
河北省,  安国市, Anguo,27122,25006
河北省,  高碑店市, Gaobeidian,32746,46454
河北省,  平泉市, Pingquan,25298,24771
河北省,  泊头市, Botou,37566,52234
河北省,  任丘市, Renqiu,59016,75760
河北省,  黄骅市, Huanghua,34466,50744
河北省,  河间市, Hejian,75405,78268
河北省,  霸州市, Bazhou,41561,72653
河北省,  三河市, Sanhe,54935,86040
河北省,  深州市, Shenzhou,26743,32542
山西省,  古交市, Gujiao,11207,12771
山西省,  高平市, Gaoping,18442,24635
山西省,  怀仁市, Huairen,43197,31103
山西省,  介休市, Jiexiu,27346,35468
山西省,  永济市, Yongjii,15840,25864
山西省,  河津市, Hejin,20184,30711
山西省,  原平市, Yuanping,18346,21676
山西省,  侯马市, Houma,9092,16778
山西省,  霍州市, Huozhou,13312,20002
山西省,  孝义市, Xiaoyi,35356,38121
山西省,  汾阳市, Fenyang,22439,30190
内蒙古自治区,  霍林郭勒市, Huolinguole,6425,10278
内蒙古自治区,  满洲里市, Manzhouli,6883,5612
内蒙古自治区,  牙克石市, Yakeshi,8762,6756
内蒙古自治区,  扎兰屯市, Zhalantun,13004,16066
内蒙古自治区,  额尔古纳市, Eerguna,1935,2339
内蒙古自治区,  根河市, Genhe,709,1290
内蒙古自治区,  丰镇市, Fengzhen,7354,9290
内蒙古自治区,  乌兰浩特市, Wulanhaote,22354,23011
内蒙古自治区,  阿尔山市, Aershan,445,839
内蒙古自治区,  二连浩特市, Erlianhaote,3510,4585
内蒙古自治区,  锡林浩特市, Xilinhaote,13709,22973
辽宁省,  新民市, Xinmin,20284,19328
辽宁省,  瓦房店市, Wafangdian,32574,45939
辽宁省,  庄河市, Zhuanghe,22783,30737
辽宁省,  海城市, Haicheng,36098,48735
辽宁省,  东港市, Donggang,19901,23833
辽宁省,  凤城市, Fengcheng,17217,17120
辽宁省,  凌海市, Linghai,12894,12938
辽宁省,  北镇市, Beizhen,14794,14833
辽宁省,  盖州市, Gaizhou,17384,26228
辽宁省,  大石桥市, Dashiqiao,23110,25928
辽宁省,  灯塔市, Dengta,7347,12631
辽宁省,  调兵山市, Diaobingshan,6762,7227
辽宁省,  开原市, Kaiyuan,18214,17513
辽宁省,  北票市, Beipiao,17060,19092
辽宁省,  凌源市, Lingyuan,30738,36172
辽宁省,  兴城市, Xingcheng,19622,21539
吉林省,  榆树市, Yushu,42949,32408
吉林省,  德惠市, Dehui,35770,29446
吉林省,  公主岭市, Gongzhuling,51225,42310
吉林省,  蛟河市, Jiaohe,13634,13150
吉林省,  桦甸市, Huadian,16201,15498
吉林省,  舒兰市, Shulan,14234,16014
吉林省,  磐石市, Panshi,17688,16511
吉林省,  双辽市, Shuangliao,14764,16270
吉林省,  梅河口市, Meihekou,22653,24455
吉林省,  集安市, Ji'an,5558,6498
吉林省,  临江市, Linjiang,4725,5100
吉林省,  扶余市, Fuyu,23383,18871
吉林省,  洮南市, Taonan,12565,13886
吉林省,  大安市, Daan,5573,9038
吉林省,  延吉市, Yanji,25343,33001
吉林省,  图们市, Tumen,1605,1833
吉林省,  敦化市, Dunhua,15273,17025
吉林省,  珲春市, Hunchun,8472,11363
吉林省,  龙井市, Longjing,2532,2805
吉林省,  和龙市, Helong,2873,3156
黑龙江省,  尚志市, Shangzhi,19298,15875
黑龙江省,  五常市, Wuchang,27287,21458
黑龙江省,  讷河市, Nehe,18334,14594
黑龙江省,  虎林市, Hulin,9549,9561
黑龙江省,  密山市, Mishan,14881,10725
