省份,城市,City,地区生产总值当年价格亿元_全市,地区生产总值当年价格亿元_市辖区,人均地区生产总值元_全市,人均地区生产总值元_市辖区,地区生产总值增长率_全市,地区生产总值增长率_市辖区
北京市,北京市,Beijing,43761,43761,200278,200278,5.20,5.20
天津市,天津市,Tianjin,16737,16737,122752,122752,4.27,4.27
河北省,  石家庄市, Shijiazhuang,7534,4710,67099,81615,6.10,6.40
河北省,  唐山市, Tangshan,9133,5301,118418,139772,5.85,6.20
河北省,  秦皇岛市, Qinhuangdao,2001,1358,64491,72044,5.60,5.87
河北省,  邯郸市, Handan,4382,1808,47493,49189,5.65,3.88
河北省,  邢台市, Xingtai,2586,813,36994,39014,4.10,3.40
河北省,  保定市, Baoding,4825,1792,41990,53595,6.18,5.51
河北省,  张家口市, Zhangjiakou,1843,887,45360,51065,5.05,5.06
河北省,  承德市, Chengde,1852,474,55915,65140,5.55,5.77
河北省,  沧州市, Cangzhou,4440,661,60909,83067,5.75,5.27
河北省,  廊坊市, Langfang,3608,1072,65763,95335,3.80,5.30
河北省,  衡水市, Hengshui,1888,634,45364,55748,5.60,6.00
山西省,  太原市, Taiyuan,5574,5011,102370,107293,3.80,4.00
山西省,  大同市, Datong,1872,1390,60580,68160,5.10,5.30
山西省,  阳泉市, Yangquan,1003,658,76830,90706,3.20,3.14
山西省,  长治市, Changzhi,2806,1394,89536,82713,5.60,4.30
山西省,  晋城市, Jincheng,2333,431,107003,73606,7.00,3.50
山西省,  朔州市, Shuozhou,1539,915,97133,109257,4.70,7.60
山西省,  晋中市, Jinzhong,2091,470,61760,37237,4.00,-0.80
山西省,  运城市, Yuncheng,2330,413,49445,42300,5.60,7.60
山西省,  忻州市, Xinzhou,1444,248,54578,42960,3.00,6.30
山西省,  临汾市, Linfen,2312,476,59342,50355,7.60,8.60
山西省,  吕梁市, Lvliang,2366,222,70450,47478,4.30,-0.30
内蒙古自治区,  呼和浩特市, Hohhot,3802,2684,106337,100541,10.00,8.60
内蒙古自治区,  包头市, Baotou,4264,3808,155050,163198,10.18,10.38
内蒙古自治区,  乌海市, Wuhai,713,713,127342,127342,0.10,0.10
内蒙古自治区,  赤峰市, Chifeng,2198,887,55144,60316,4.81,3.88
内蒙古自治区,  通辽市, Tongliao,1609,351,57056,49917,5.20,5.30
内蒙古自治区,  鄂尔多斯市, Erdos,5850,1171,264699,165297,7.00,10.49
内蒙古自治区,  呼伦贝尔市, Hulunbuir,1596,293,73192,76519,6.10,7.05
内蒙古自治区,  巴彦淖尔市, B ayannur,1161,378,76893,65222,7.95,9.33
内蒙古自治区,  乌兰察布市, Ulanqab,1085,266,67158,61503,7.80,8.40
辽宁省,  沈阳市, Shenyang,8122,7470,88519,93118,6.10,6.10
辽宁省,  大连市, Dalian,8753,6873,116557,117279,5.95,6.19
辽宁省,  鞍山市, Anshan,2012,1052,61658,69171,5.70,5.53
辽宁省,  抚顺市, Fushun,949,801,52663,63737,4.40,4.20
辽宁省,  本溪市, Benxi,971,799,77217,85639,5.75,5.09
辽宁省,  丹东市, Dandong,945,358,44926,41020,6.05,6.70
辽宁省,  锦州市, Jinzhou,1253,706,47577,65027,5.40,5.33
辽宁省,  营口市, Yingkou,1479,990,64999,83386,5.30,6.16
辽宁省,  阜新市, Fuxin,602,283,38310,38310,4.60,2.19
辽宁省,  辽阳市, Liaoyang,878,561,57132,65765,1.60,-0.90
辽宁省,  盘锦市, Panjin,1382,1231,99717,105629,1.65,2.66
辽宁省,  铁岭市, Tieling,765,178,33596,47907,5.35,4.76
辽宁省,  朝阳市, Chaoyang,1044,265,37368,38403,5.30,5.30
辽宁省,  葫芦岛市, Huludao,912,432,38815,46546,6.00,6.05
吉林省,  长春市, Changchun,7002,5798,77084,98827,6.56,6.75
吉林省,  吉林市, Jilin,1584,1014,44932,53651,6.70,6.40
吉林省,  四平市, Siping,589,200,34922,34064,5.90,5.60
吉林省,  辽源市, Liaoyuan,517,240,54345,38193,5.70,5.60
吉林省,  通化市, Tonghua,614,246,50644,56004,5.59,5.44
吉林省,  白山市, Baishan,553,235,61378,46956,5.30,4.60
吉林省,  松原市, Songyuan,893,302,41654,43765,5.90,5.20
吉林省,  白城市, Baicheng,593,187,40199,41150,6.00,5.91
