地区,Region,"城市合计
Total","直辖市
Municipality
Directly under the
Central Government","副省级市
Vice-provincial
City","地级市
Prefecture-level
City","县级市
County-level
City"
北京,Beijing,1,1.0,0.0,0.0,0.0
天津,Tianjin,1,1.0,0.0,0.0,0.0
河北,Hebei,32,0.0,0.0,11.0,21.0
山西,Shanxi,22,0.0,0.0,11.0,11.0
内蒙古,Inner Mongolia,20,0.0,0.0,9.0,11.0
辽宁,Liaoning,30,0.0,2.0,12.0,16.0
吉林,Jilin,28,0.0,1.0,7.0,20.0
黑龙江,Heilongjiang,33,0.0,1.0,11.0,21.0
上海,Shanghai,1,1.0,0.0,0.0,0.0
江苏,Jiangsu,34,0.0,1.0,12.0,21.0
浙江,Zhejiang,31,0.0,2.0,9.0,20.0
安徽,Anhui,25,0.0,0.0,16.0,9.0
福建,Fujian,20,0.0,1.0,8.0,11.0
江西,Jiangxi,23,0.0,0.0,11.0,12.0
山东,Shandong,42,0.0,2.0,14.0,26.0
河南,Henan,38,0.0,0.0,17.0,21.0
湖北,Hubei,38,0.0,1.0,11.0,26.0
湖南,Hunan,32,0.0,0.0,13.0,19.0
广东,Guangdong,41,0.0,2.0,19.0,20.0
广西,Guangxi,24,0.0,0.0,14.0,10.0
海南,Hainan,9,0.0,0.0,4.0,5.0
重庆,Chongqing,1,1.0,0.0,0.0,0.0
四川,Sichuan,37,0.0,1.0,17.0,19.0
贵州,Guizhou,16,0.0,0.0,6.0,10.0
云南,Yunnan,26,0.0,0.0,8.0,18.0
西藏,Xizang,8,0.0,0.0,6.0,2.0
陕西,Shaanxi,17,0.0,1.0,9.0,7.0
甘肃,Gansu,17,0.0,0.0,12.0,5.0
青海,Qinghai,7,0.0,0.0,2.0,5.0
宁夏,Ningxia,7,0.0,0.0,5.0,2.0
新疆,Xinjiang,33,0.0,0.0,4.0,29.0
