省份,城市,City,天然气供气总量,居民家庭用量
北京市,北京市,Beijing,2011672,198310
天津市,天津市,Tianjin,675018,116332
河北省,  石家庄市, Shijiazhuang,103526,49743
河北省,  唐山市, Tangshan,81674,10768
河北省,  秦皇岛市, Qinhuangdao,67882,7694
河北省,  邯郸市, Handan,62414,30217
河北省,  邢台市, Xingtai,19264,12597
河北省,  保定市, Baoding,37564,20567
河北省,  张家口市, Zhangjiakou,16172,3958
河北省,  承德市, Chengde,7543,1303
河北省,  沧州市, Cangzhou,,
河北省,  廊坊市, Langfang,60006,40148
河北省,  衡水市, Hengshui,13026,6362
山西省,  太原市, Taiyuan,105269,29363
山西省,  大同市, Datong,24061,6642
山西省,  阳泉市, Yangquan,34837,5021
山西省,  长治市, Changzhi,28083,11142
山西省,  晋城市, Jincheng,87000,22000
山西省,  朔州市, Shuozhou,8692,8590
山西省,  晋中市, Jinzhong,13001,2593
山西省,  运城市, Yuncheng,11563,7210
山西省,  忻州市, Xinzhou,4654,2918
山西省,  临汾市, Linfen,11300,2656
山西省,  吕梁市, Lvliang,1570,715
内蒙古自治区,  呼和浩特市, Hohhot,81709,20600
内蒙古自治区,  包头市, Baotou,123540,64063
内蒙古自治区,  乌海市, Wuhai,24805,2219
内蒙古自治区,  赤峰市, Chifeng,4990,2620
内蒙古自治区,  通辽市, Tongliao,3980,2162
内蒙古自治区,  鄂尔多斯市, Erdos,13448,4023
内蒙古自治区,  呼伦贝尔市, Hulunbuir,1465,919
内蒙古自治区,  巴彦淖尔市, Bayannur,5667,1180
内蒙古自治区,  乌兰察布市, Ulanqab,3147,615
辽宁省,  沈阳市, Shenyang,98964,26971
辽宁省,  大连市, Dalian,56215,15197
辽宁省,  鞍山市, Anshan,22886,10130
辽宁省,  抚顺市, Fushun,10580,2810
辽宁省,  本溪市, Benxi,11500,2603
辽宁省,  丹东市, Dandong,1758,553
辽宁省,  锦州市, Jinzhou,18779,5720
辽宁省,  营口市, Yingkou,22365,6579
辽宁省,  阜新市, Fuxin,5405,760
辽宁省,  辽阳市, Liaoyang,10860,2151
辽宁省,  盘锦市, Panjin,14219,5132
辽宁省,  铁岭市, Tieling,10794,1316
辽宁省,  朝阳市, Chaoyang,3387,1110
辽宁省,  葫芦岛市, Huludao,18465,4539
吉林省,  长春市, Changchun,99377,26274
吉林省,  吉林市, Jilin,,
吉林省,  四平市, Siping,9555,2945
吉林省,  辽源市, Liaoyuan,2726,
吉林省,  通化市, Tonghua,2724,
吉林省,  白山市, Baishan,2101,468
吉林省,  松原市, Songyuan,10684,4990
吉林省,  白城市, Baicheng,1426,302
黑龙江省,  哈尔滨市, Harbin,89383,17925
黑龙江省,  齐齐哈尔市, Qiqihar,30447,4228
黑龙江省,  鸡西市, Jixi,2303,1149
黑龙江省,  鹤岗市, Hegang,998,745
黑龙江省,  双鸭山市, Shuangyashan,,
黑龙江省,  大庆市, Daqing,40037,10898
黑龙江省,  伊春市, Yichun,281,53
黑龙江省,  佳木斯市, Jiamusi,5398,3298
黑龙江省,  七台河市, Qitaihe,1139,96
黑龙江省,  牡丹江市, Mudanjiang,3215,1808
黑龙江省,  黑河市, Heihe,278,72
黑龙江省,  绥化市, Suihua,1699,1046
上海市,上海市,Shanghai,983385,190275
江苏省,  南京市, Nanjing,204377,73433
江苏省,  无锡市, Wuxi,130308,33008
江苏省,  徐州市, Xuzhou,65105,24337
江苏省,  常州市, Changzhou,170158,17021
江苏省,  苏州市, Suzhou,140948,38202
江苏省,  南通市, Nantong,74076,20519
江苏省,  连云港市, Lianyungang,142849,14585
江苏省,  淮安市, Huai'an,41038,15691
江苏省,  盐城市, Yancheng,43702,14499
江苏省,  扬州市, Yangzhou,31017,14949
江苏省,  镇江市, Zhenjiang,56013,8929
江苏省,  泰州市, Taizhou,78739,8180
江苏省,  宿迁市, Suqian,44610,6692
浙江省,  杭州市, Hangzhou,189836,56486
浙江省,  宁波市, Ningbo,121446,22898
浙江省,  温州市, Wenzhou,43493,6034
浙江省,  嘉兴市, Jiaxing,46200,6239
浙江省,  湖州市, Huzhou,33499,6553
浙江省,  绍兴市, Shaoxing,147748,9094
浙江省,  金华市, Jinhua,20370,2873
浙江省,  衢州市, Quzhou,23173,2367
浙江省,  舟山市, Zhoushan,9000,2953
浙江省,  台州市, Taizhou,30803,3656
浙江省,  丽水市, Lishui,7065,1434
安徽省,  合肥市, Hefei,140096,52738
安徽省,  芜湖市, Wuhu,56957,14632
安徽省,  蚌埠市, Bengbu,,
安徽省,  淮南市, Huainan,20562,8397
安徽省,  马鞍山市, Ma'anshan,32945,6718
安徽省,  淮北市, Huaibei,17058,6709
安徽省,  铜陵市, Tongling,24617,4321
安徽省,  安庆市, Anqing,14600,4176
安徽省,  黄山市, Huangshan,6214,1141
安徽省,  滁州市, Chuzhou,25703,8747
安徽省,  阜阳市, Fuyang,16027,6568
安徽省,  宿州市, Suzhou,13707,5402
安徽省,  六安市, Lu'an,16144,6770
安徽省,  亳州市, Bozhou,11814,4359
安徽省,  池州市, Chizhou,5915,1976
安徽省,  宣城市, Xuancheng,14236,2925
福建省,  福州市, Fuzhou,24380,9669
福建省,  厦门市, Xiamen,44429,6693
福建省,  莆田市, Putian,26390,3420
福建省,  三明市, Sanming,5117,3176
福建省,  泉州市, Quanzhou,22933,3496
福建省,  漳州市, Zhangzhou,19912,2524
福建省,  南平市, Nanping,2417,939
福建省,  龙岩市, Longyan,8401,1852
福建省,  宁德市, Ningde,14936,1282
江西省,  南昌市, Nanchang,40527,18074
江西省,  景德镇市, Jingdezhen,16674,2721
江西省,  萍乡市, Pingxiang,26784,14785
江西省,  九江市, Jiujiang,36680,6294
江西省,  新余市, Xinyu,13333,3962
江西省,  鹰潭市, Yingtan,8949,1393
江西省,  赣州市, Ganzhou,18264,6647
江西省,  吉安市, Ji'an,4913,2586
江西省,  宜春市, Yichun,,
江西省,  抚州市, Fuzhou,13195,2984
江西省,  上饶市, Shangrao,20270,3611
山东省,  济南市, Jinan,178940,61899
山东省,  青岛市, Qingdao,180294,34968
山东省,  淄博市, Zibo,111565,16406
山东省,  枣庄市, Zaozhuang,18833,5134
山东省,  东营市, Dongying,37567,17429
山东省,  烟台市, Yantai,44487,11737
山东省,  潍坊市, Weifang,52679,15545
山东省,  济宁市, Jining,44699,19311
山东省,  泰安市, Tai'an,45248,4310
山东省,  威海市, Weihai,19387,5459
山东省,  日照市, Rizhao,25635,7462
山东省,  临沂市, Linyi,75348,13815
山东省,  德州市, Dezhou,43105,5209
山东省,  聊城市, Liaocheng,56280,13413
山东省,  滨州市, Binzhou,31090,9605
山东省,  菏泽市, Heze,,
河南省,  郑州市, Zhengzhou,135765,46905
河南省,  开封市, Kaifeng,20177,7961
河南省,  洛阳市, Luoyang,88445,15521
河南省,  平顶山市, Pingdingshan,16701,6158
河南省,  安阳市, Anyang,18560,7379
河南省,  鹤壁市, Hebi,8091,3626
河南省,  新乡市, Xinxiang,24236,11622
河南省,  焦作市, Jiaozuo,35825,5610
河南省,  濮阳市, Puyang,12684,7088
河南省,  许昌市, Xuchang,13218,8406
河南省,  漯河市, Luohe,13426,7230
河南省,  三门峡市, Sanmenxia,9500,2841
河南省,  南阳市, Nanyang,20026,6692
河南省,  商丘市, Shangqiu,26756,5141
河南省,  信阳市, Xinyang,18900,7410
河南省,  周口市, Zhoukou,12212,6048
河南省,  驻马店市, Zhumadian,8178,5311
湖北省,  武汉市, Wuhan,278342,94322
湖北省,  黄石市, Huangshi,40209,4152
湖北省,  十堰市, Shiyan,21317,6853
湖北省,  宜昌市, Yichang,27883,10269
湖北省,  襄阳市, Xiangyang,39294,11006
湖北省,  鄂州市, Ezhou,12000,6240
湖北省,  荆门市, Jingmen,14019,4061
湖北省,  孝感市, Xiaogan,12033,4280
湖北省,  荆州市, Jingzhou,21699,6547
湖北省,  黄冈市, Huanggang,11226,4098
湖北省,  咸宁市, Xianning,23371,2827
湖北省,  随州市, Suizhou,8104,3552
湖南省,  长沙市, Changsha,106628,53741
湖南省,  株洲市, Zhuzhou,32901,13042
湖南省,  湘潭市, Xiangtan,17800,6751
湖南省,  衡阳市, Hengyang,29547,9533
湖南省,  邵阳市, Shaoyang,8748,5249
湖南省,  岳阳市, Yueyang,34940,7705
湖南省,  常德市, Changde,13500,4996
湖南省,  张家界市, Zhangjiajie,3054,1613
湖南省,  益阳市, Yiyang,11747,4974
湖南省,  郴州市, Chenzhou,10861,10427
湖南省,  永州市, Yongzhou,3940,3032
湖南省,  怀化市, Huaihua,3870,2227
湖南省,  娄底市, Loudi,6500,3072
广东省,  广州市, Guangzhou,182345,48398
广东省,  韶关市, Shaoguan,13530,4125
广东省,  深圳市, Shenzhen,1484733,59993
广东省,  珠海市, Zhuhai,32092,6252
广东省,  汕头市, Shantou,10092,2711
广东省,  佛山市, Foshan,335000,25200
广东省,  江门市, Jiangmen,59620,2947
广东省,  湛江市, Zhanjiang,11491,4506
广东省,  茂名市, Maoming,4784,2679
广东省,  肇庆市, Zhaoqing,89210,3787
广东省,  惠州市, Huizhou,32585,11002
广东省,  梅州市, Meizhou,4073,2154
广东省,  汕尾市, Shanwei,1417,579
广东省,  河源市, Heyuan,2984,1067
广东省,  阳江市, Yangjiang,30376,1964
广东省,  清远市, Qingyuan,82450,5238
广东省,  东莞市, Dongguan,,
广东省,  中山市, Zhongshan,,
广东省,  潮州市, Chaozhou,62436,862
广东省,  揭阳市, Jieyang,11090,1050
广东省,  云浮市, Yunfu,5515,1262
广西壮族自治区,  南宁市, Nanning,38276,21740
广西壮族自治区,  柳州市, Liuzhou,19052,7889
广西壮族自治区,  桂林市, Guilin,13661,6029
广西壮族自治区,  梧州市, Wuzhou,26087,2260
广西壮族自治区,  北海市, Beihai,71002,4696
