省份,城市,City,小学阶段万人_全市,小学阶段万人_市辖区,学前教育人_全市,学前教育人_市辖区
北京市,北京市,Beijing,116,116,515267,515267
天津市,天津市,Tianjin,82,82,290052,290052
河北省,  石家庄市, Shijiazhuang,97,51,302947,159371
河北省,  唐山市, Tangshan,56,26,189499,92478
河北省,  秦皇岛市, Qinhuangdao,20,12,62624,39421
河北省,  邯郸市, Handan,102,40,267049,102454
河北省,  邢台市, Xingtai,76,22,219556,67823
河北省,  保定市, Baoding,97,26,322321,89696
河北省,  张家口市, Zhangjiakou,25,10,95923,39718
河北省,  承德市, Chengde,24,5,76728,19067
河北省,  沧州市, Cangzhou,71,8,210260,29034
河北省,  廊坊市, Langfang,53,11,149106,31865
河北省,  衡水市, Hengshui,34,11,98305,29430
山西省,  太原市, Taiyuan,38,33,124119,101897
山西省,  大同市, Datong,17,12,60057,35783
山西省,  阳泉市, Yangquan,7,4,30374,18253
山西省,  长治市, Changzhi,21,12,88685,51719
山西省,  晋城市, Jincheng,12,4,64142,23947
山西省,  朔州市, Shuozhou,12,6,32111,15285
山西省,  晋中市, Jinzhong,22,8,95526,39398
山西省,  运城市, Yuncheng,34,8,143112,36706
山西省,  忻州市, Xinzhou,16,4,64195,16008
山西省,  临汾市, Linfen,28,8,112522,30837
山西省,  吕梁市, Lvliang,26,5,103576,21542
内蒙古自治区,  呼和浩特市, Hohhot,21,16,69970,51060
内蒙古自治区,  包头市, Baotou,15,13,60304,53001
内蒙古自治区,  乌海市, Wuhai,3,3,15644,15644
内蒙古自治区,  赤峰市, Chifeng,26,10,96496,43090
内蒙古自治区,  通辽市, Tongliao,17,3,59864,11229
内蒙古自治区,  鄂尔多斯市, Erdos,17,7,78530,30544
内蒙古自治区,  呼伦贝尔市, Hulunbuir,10,2,41764,10048
内蒙古自治区,  巴彦淖尔市, Bayannur,8,3,36837,16976
内蒙古自治区,  乌兰察布市, Ulanqab,7,3,27853,7396
辽宁省,  沈阳市, Shenyang,47,158302,,
辽宁省,  大连市, Dalian,40,32,131527,109860
辽宁省,  鞍山市, Anshan,14,6,59085,25837
辽宁省,  抚顺市, Fushun,7,5,28373,19896
辽宁省,  本溪市, Benxi,5,3,19621,468
辽宁省,  丹东市, Dandong,9,1,31298,14882
辽宁省,  锦州市, Jinzhou,10,5,38708,21069
辽宁省,  营口市, Yingkou,11,7,37839,20917
辽宁省,  阜新市, Fuxin,7,3,29846,14463
辽宁省,  辽阳市, Liaoyang,6,4,27063,15187
辽宁省,  盘锦市, Panjin,7,6,29395,25974
辽宁省,  铁岭市, Tieling,8,4,37510,16874
辽宁省,  朝阳市, Chaoyang,16,5,52978,17688
辽宁省,  葫芦岛市, Huludao,12,5,41414,14088
吉林省,  长春市, Changchun,45,30,129763,102754
吉林省,  吉林市, Jilin,15,8,51377,30588
吉林省,  四平市, Siping,8,3,25825,9031
吉林省,  辽源市, Liaoyuan,4,2,15123,8348
吉林省,  通化市, Tonghua,6,2,21542,8381
