省份,城市,City,住户储蓄存款余额,年末金融机构各项贷款余额
河北省,  辛集市, Xinji,4396879,
河北省,  晋州市, Jinzhou,,
河北省,  新乐市, Xinle,,
河北省,  遵化市, Zunhua,7417121,4730605
河北省,  迁安市, Qian'an,10882992,9767780
河北省,  滦州市, Luanzhou,4835489,3128162
河北省,  武安市, Wu'an,9096733,10165528
河北省,  南宫市, Nangong,3436657,2266788
河北省,  沙河市, Shahe,4278130,3516580
河北省,  涿州市, Zhuozhou,7149074,6557065
河北省,  定州市, Dingzhou,8750000,4961000
河北省,  安国市, Anguo,3554344,2306179
河北省,  高碑店市, Gaobeidian,6965159,8416492
河北省,  平泉市, Pingquan,3715500,2945700
河北省,  泊头市, Botou,5517700,2409900
河北省,  任丘市, Renqiu,5030000,
河北省,  黄骅市, Huanghua,6379795,11152133
河北省,  河间市, Hejian,6660583,3131879
河北省,  霸州市, Bazhou,8763989,7101187
河北省,  三河市, Sanhe,10889902,17749664
河北省,  深州市, Shenzhou,3631957,2609916
山西省,  古交市, Gujiao,2549783,1134205
山西省,  高平市, Gaoping,3880144,2653385
山西省,  怀仁市, Huairen,4114859,1997477
山西省,  介休市, Jiexiu,4533725,3693895
山西省,  永济市, Yongji,2436400,1276500
山西省,  河津市, Hejin,2919948,1766969
山西省,  原平市, Yuanping,4125807,1965494
山西省,  侯马市, Houma,2794048,1752359
山西省,  霍州市, Huozhou,2279807,1664789
山西省,  孝义市, Xiaoyi,5763882,3180679
山西省,  汾阳市, Fenyang,3614462,1802049
内蒙古自治区,  霍林郭勒市, Huolinguole,1339875,1460457
内蒙古自治区,  满洲里市, Manzhouli,2888938,1331900
内蒙古自治区,  牙克石市, Yakeshi,2735144,979500
内蒙古自治区,  扎兰屯市, Zhalantun,2118866,1678300
内蒙古自治区,  额尔古纳市, Eerguna,636281,265800
内蒙古自治区,  根河市, Genhe,966529,384600
内蒙古自治区,  丰镇市, Fengzhen,1582206,846351
内蒙古自治区,  乌兰浩特市, Wulanhaote,3364695,5155494
内蒙古自治区,  阿尔山市, Aershan,287248,381371
内蒙古自治区,  二连浩特市, Erlianhaote,925346,990652
内蒙古自治区,  锡林浩特市, Xilinhaote,3177593,5743704
辽宁省,  新民市, Xinmin,,
辽宁省,  瓦房店市, Wafangdian,9981248,7636334
辽宁省,  庄河市, Zhuanghe,8566986,3376962
辽宁省,  海城市, Haicheng,12270817,5508258
辽宁省,  东港市, Donggang,7665294,3760145
辽宁省,  凤城市, Fengcheng,5166791,2568536
辽宁省,  凌海市, Linghai,3528725,829315
辽宁省,  北镇市, Beizhen,,
辽宁省,  盖州市, Gaizhou,4392844,2578937
辽宁省,  大石桥市, Dashiqiao,6760365,4148865
辽宁省,  灯塔市, Dengta,3485424,1588770
辽宁省,  调兵山市, Diaobingshan,,
辽宁省,  开原市, Kaiyuan,3582828,1261920
辽宁省,  北票市, Beipiao,3402115,1171645
辽宁省,  凌源市, Lingyuan,4665271,1268497
辽宁省,  兴城市, Xingcheng,4999759,3383690
吉林省,  榆树市, Yushu,4955000,3197500
吉林省,  德惠市, Dehui,4820600,2259859
吉林省,  公主岭市, Gongzhuling,6934500,4163800
吉林省,  蛟河市, Jiaohe,2585380,1049285
吉林省,  桦甸市, Huadian,2641909,
吉林省,  舒兰市, Shulan,3034064,1626943
吉林省,  磐石市, Panshi,2933411,1740402
吉林省,  双辽市, Shuangliao,1088100,
吉林省,  梅河口市, Meihekou,4942321,2434845
吉林省,  集安市, Ji'an,1962750,1084579
吉林省,  临江市, Linjiang,1235185,620606
吉林省,  扶余市, Fuyu,2694650,1376699
吉林省,  洮南市, Taonan,1932797,1267971
吉林省,  大安市, Daan,2050697,1639598
吉林省,  延吉市, Yanji,9152540,5834671
吉林省,  图们市, Tumen,1006676,521926
吉林省,  敦化市, Dunhua,4122663,2646227
吉林省,  珲春市, Hunchun,2453294,2015814
吉林省,  龙井市, Longjing,1386682,598186
吉林省,  和龙市, Helong,1088437,846978
