省份,城市,City,公共图书馆图书藏量万册_全市,公共图书馆图书藏量万册_市辖区,博物馆数个_全市,博物馆数个_市辖区
北京市,北京市,Beijing,8099,8099,226,226
天津市,天津市,Tianjin,2445,2445,53,53
河北省,  石家庄市, Shijiazhuang,855,667,65,50
河北省,  唐山市, Tangshan,1072,622,17,9
河北省,  秦皇岛市, Qinhuangdao,264,160,12,4
河北省,  邯郸市, Handan,318,127,20,7
河北省,  邢台市, Xingtai,324,140,9,5
河北省,  保定市, Baoding,464,164,45,16
河北省,  张家口市, Zhangjiakou,225,120,14,7
河北省,  承德市, Chengde,128,53,16,2
河北省,  沧州市, Cangzhou,615,20,17,3
河北省,  廊坊市, Langfang,465,229,10,2
河北省,  衡水市, Hengshui,165,53,10,5
山西省,  太原市, Taiyuan,711,631,41,37
山西省,  大同市, Datong,144,107,29,23
山西省,  阳泉市, Yangquan,85,59,3,3
山西省,  长治市, Changzhi,232,53,28,14
山西省,  晋城市, Jincheng,210,89,8,1
山西省,  朔州市, Shuozhou,136,69,7,3
山西省,  晋中市, Jinzhong,251,45,25,8
山西省,  运城市, Yuncheng,176,10,24,1
山西省,  忻州市, Xinzhou,143,19,14,4
山西省,  临汾市, Linfen,302,137,24,8
山西省,  吕梁市, Lvliang,198,2,12,3
内蒙古自治区,  呼和浩特市, Hohhot,738,661,30,14
内蒙古自治区,  包头市, Baotou,209,173,3,1
内蒙古自治区,  乌海市, Wuhai,76,76,3,3
内蒙古自治区,  赤峰市, Chifeng,230,69,22,3
内蒙古自治区,  通辽市, Tongliao,218,49,11,1
内蒙古自治区,  鄂尔多斯市, Erdos,324,174,24,8
内蒙古自治区,  呼伦贝尔市, Hulunbuir,273,26,32,5
内蒙古自治区,  巴彦淖尔市, B ayannur,95,42,13,2
内蒙古自治区,  乌兰察布市, Ulanqab,113,6,9,2
辽宁省,  沈阳市, Shenyang,814,768,23,23
辽宁省,  大连市, Dalian,2837,2084,30,27
辽宁省,  鞍山市, Anshan,339,262,7,3
辽宁省,  抚顺市, Fushun,164,118,5,3
辽宁省,  本溪市, Benxi,183,158,7,2
辽宁省,  丹东市, Dandong,151,120,4,2
辽宁省,  锦州市, Jinzhou,211,157,9,4
辽宁省,  营口市, Yingkou,187,163,5,3
辽宁省,  阜新市, Fuxin,60,43,7,5
辽宁省,  辽阳市, Liaoyang,130,116,4,1
辽宁省,  盘锦市, Panjin,126,112,3,3
辽宁省,  铁岭市, Tieling,88,5,2,1
辽宁省,  朝阳市, Chaoyang,128,44,16,7
辽宁省,  葫芦岛市, Huludao,134,26,3,1
吉林省,  长春市, Changchun,800,683,29,24
吉林省,  吉林市, Jilin,386,197,38,10
吉林省,  四平市, Siping,79,54,5,2
吉林省,  辽源市, Liaoyuan,37,22,7,4
吉林省,  通化市, Tonghua,91,9,8,3
吉林省,  白山市, Baishan,112,11,,
吉林省,  松原市, Songyuan,126,38,10,2
吉林省,  白城市, Baicheng,7,,,
黑龙江省,  哈尔滨市, Harbin,6657,4237,69,57
黑龙江省,  齐齐哈尔市, Qiqihar,319,187,19,6
黑龙江省,  鸡西市, Jixi,130,12,5,
黑龙江省,  鹤岗市, Hegang,58,39,5,3
黑龙江省,  双鸭山市, Shuangyashan,91,7,1,
黑龙江省,  大庆市, Daqing,257,13,12,5
黑龙江省,  伊春市, Yichun,137,74,9,2
黑龙江省,  佳木斯市, Jiamusi,124,11,3,
黑龙江省,  七台河市, Qitaihe,39,22,1,1
黑龙江省,  牡丹江市, Mudanjiang,1394,708,22,4
黑龙江省,  黑河市, Heihe,58,16,26,11
黑龙江省,  绥化市, Suihua,182,22,17,1
上海市,上海市,Shanghai,8307,8307,165,165
江苏省,  南京市, Nanjing,2670,2670,75,75
江苏省,  无锡市, Wuxi,1064,659,64,44
江苏省,  徐州市, Xuzhou,684,171,23,13
江苏省,  常州市, Changzhou,556,279,30,3
江苏省,  苏州市, Suzhou,2861,1016,48,30
江苏省,  南通市, Nantong,980,427,31,13
江苏省,  连云港市, Lianyungang,437,118,12,3
江苏省,  淮安市, Huai'an,516,381,14,9
江苏省,  盐城市, Yancheng,728,379,14,9
江苏省,  扬州市, Yangzhou,729,402,17,17
江苏省,  镇江市, Zhenjiang,439,116,15,4
江苏省,  泰州市, Taizhou,458,276,18,10
江苏省,  宿迁市, Suqian,6,3,,
浙江省,  杭州市, Hangzhou,3182,2907,87,80
浙江省,  宁波市, Ningbo,1472,1142,78,42
浙江省,  温州市, Wenzhou,1754,969,58,17
浙江省,  嘉兴市, Jiaxing,1321,374,35,13
浙江省,  湖州市, Huzhou,475,268,37,18
浙江省,  绍兴市, Shaoxing,916,613,67,49
浙江省,  金华市, Jinhua,773,194,24,4
浙江省,  衢州市, Quzhou,510,290,8,3
浙江省,  舟山市, Zhoushan,262,211,15,12
浙江省,  台州市, Taizhou,1133,45,55,15
浙江省,  丽水市, Lishui,435,126,21,5
安徽省,  合肥市, Hefei,862,574,42,38
安徽省,  芜湖市, Wuhu,353,260,18,12
安徽省,  蚌埠市, Bengbu,336,110,4,1
安徽省,  淮南市, Huainan,134,92,10,7
安徽省,  马鞍山市, Ma'anshan,289,171,11,6
安徽省,  淮北市, Huaibei,114,91,12,9
安徽省,  铜陵市, Tongling,256,181,4,3
安徽省,  安庆市, Anqing,397,113,17,7
安徽省,  黄山市, Huangshan,142,72,51,24
安徽省,  滁州市, Chuzhou,297,79,15,1
安徽省,  阜阳市, Fuyang,300,57,11,2
安徽省,  宿州市, Suzhou,175,102,8,3
安徽省,  六安市, Lu'an,233,108,10,6
安徽省,  亳州市, Bozhou,207,93,5,2
安徽省,  池州市, Chizhou,134,52,5,3
安徽省,  宣城市, Xuancheng,159,37,12,1
福建省,  福州市, Fuzhou,1422,829,42,30
福建省,  厦门市, Xiamen,1022,1022,4,64
福建省,  莆田市, Putian,117,108,7,3
福建省,  三明市, Sanming,340,72,12,33
福建省,  泉州市, Quanzhou,1202,188,18,4
福建省,  漳州市, Zhangzhou,293,101,14,6
福建省,  南平市, Nanping,238,92,19,3
福建省,  龙岩市, Longyan,368,151,15,6
福建省,  宁德市, Ningde,463,167,13,3
江西省,  南昌市, Nanchang,371,297,28,
江西省,  景德镇市, Jingdezhen,167,107,25,14
江西省,  萍乡市, Pingxiang,510,266,7,3
江西省,  九江市, Jiujiang,457,146,27,27
江西省,  新余市, Xinyu,120,96,5,3
江西省,  鹰潭市, Yingtan,59,19,5,3
江西省,  赣州市, Ganzhou,883,273,26,6
江西省,  吉安市, Ji'an,521,67,20,3
江西省,  宜春市, Yichun,259,45,13,1
江西省,  抚州市, Fuzhou,397,112,18,6
江西省,  上饶市, Shangrao,209,94,24,5
山东省,  济南市, Jinan,1093,1015,94,87
山东省,  青岛市, Qingdao,998,793,136,103
山东省,  淄博市, Zibo,362,282,85,66
山东省,  枣庄市, Zaozhuang,195,156,28,21
