省份,城市,City,水资源总量_全市,用水总量_全市,用水总量_市辖区
北京市,北京市,Beijing,42,41,41
天津市,天津市,Tianjin,18,33,33
河北省,  石家庄市, Shijiazhuang,38,32,9
河北省,  唐山市, Tangshan,22,24,13
河北省,  秦皇岛市, Qinhuangdao,9,7,3
河北省,  邯郸市, Handan,26,19,6
河北省,  邢台市, Xingtai,31,19,7
河北省,  保定市, Baoding,63,33,17
河北省,  张家口市, Zhangjiakou,17,7,6
河北省,  承德市, Chengde,18,8,1
河北省,  沧州市, Cangzhou,9,15,3
河北省,  廊坊市, Langfang,8,9,2
河北省,  衡水市, Hengshui,8,14,3
山西省,  太原市, Taiyuan,7,5,
山西省,  大同市, Datong,,,
山西省,  阳泉市, Yangquan,2,2,1
山西省,  长治市, Changzhi,5,2,
山西省,  晋城市, Jincheng,4,1,
山西省,  朔州市, Shuozhou,7,5,1
山西省,  晋中市, Jinzhong,6,2,
山西省,  运城市, Yuncheng,13,15,2
山西省,  忻州市, Xinzhou,21,6,1
山西省,  临汾市, Linfen,,,
山西省,  吕梁市, Lvliang,,,
内蒙古自治区,  呼和浩特市, Hohhot,10,10,3
内蒙古自治区,  包头市, Baotou,6,10,5
内蒙古自治区,  乌海市, Wuhai,2,0,0
内蒙古自治区,  赤峰市, Chifeng,29,25,5
内蒙古自治区,  通辽市, Tongliao,37,38,8
内蒙古自治区,  鄂尔多斯市, Erdos,29,18,1
内蒙古自治区,  呼伦贝尔市, Hulunbuir,316,18,1
内蒙古自治区,  巴彦淖尔市, Bayannur,51,47,9
内蒙古自治区,  乌兰察布市, Ulanqab,13,7,1
辽宁省,  沈阳市, Shenyang,26,27,20
辽宁省,  大连市, Dalian,29,16,10
辽宁省,  鞍山市, Anshan,44,9,2
辽宁省,  抚顺市, Fushun,25,5,3
辽宁省,  本溪市, Benxi,33,3,1
辽宁省,  丹东市, Dandong,82,8,1
辽宁省,  锦州市, Jinzhou,11,8,2
辽宁省,  营口市, Yingkou,13,8,3
辽宁省,  阜新市, Fuxin,11,3,1
辽宁省,  辽阳市, Liaoyang,10,9,2
