省份,城市,City,全社会用电量,工业用电,居民生活用电
北京市,北京市,Beijing,13577778,2752332,3345760
天津市,天津市,Tianjin,10509342,6270972,1630456
河北省,石家庄市, Shijiazhuang,6419351,3535705,1101291
河北省,唐山市, Tangshan,9624371,7577318,724540
河北省,秦皇岛市, Qinhuangdao,1993908,1275477,270044
河北省,邯郸市, Handan,4968253,3265674,836934
河北省,邢台市, Xingtai,3786408,2313018,728976
河北省,保定市, Baoding,5151709,2322203,1298320
河北省,张家口市, Zhangjiakou,2427435,1025991,313834
河北省,承德市, Chengde,2467105,1775762,269772
河北省,沧州市, Cangzhou,4856412,3272012,700681
河北省,廊坊市, Langfang,3703888,1808905,695742
河北省,衡水市, Hengshui,1882513,1043540,358320
山西省,太原市, Taiyuan,3366220,1878567,581491
山西省,大同市, Datong,2195945,1295730,283485
山西省,阳泉市, Yangquan,1015479,731340,97678
山西省,长治市, Changzhi,2321730,1801291,246215
山西省,晋城市, Jincheng,2303360,1954022,133937
山西省,朔州市, Shuozhou,1086161,835001,70041
山西省,晋中市, Jinzhong,2859877,2150273,302143
山西省,运城市, Yuncheng,3791542,2747642,512309
山西省,忻州市, Xinzhou,1717629,1067191,204493
山西省,临汾市, Linfen,2714120,1885439,369389
山西省,吕梁市, Lvliang,2993476,2393189,258603
内蒙古自治区,呼和浩特市, Hohhot,3778008,2706056,285786
内蒙古自治区,包头市, B aotou,10203527,9623300,211571
内蒙古自治区,乌海市, Wuhai,2420783,2294329,44172
内蒙古自治区,赤峰市, Chifeng,2260499,1711206,289248
内蒙古自治区,通辽市, Tongliao,5738580,5074469,238422
内蒙古自治区,鄂尔多斯市, Erdos,9579500,8765800,183400
内蒙古自治区,呼伦贝尔市, Hulunbuir,1353770,905988,187647
内蒙古自治区,巴彦淖尔市, Bayannur,1685902,1256528,119943
内蒙古自治区,乌兰察布市, Ulanqab,6811101,6232606,129594
辽宁省,沈阳市, Shenyang,4299139,1792174,872541
辽宁省,大连市, Dalian,4686142,2906448,694380
辽宁省,鞍山市, Anshan,3191167,2594701,287378
辽宁省,  抚顺市, Fushun,1156396,851804,151949
辽宁省,  本溪市, Benxi,1495958,1266383,108932
辽宁省,  丹东市, Dandong,1112721,707431,186006
辽宁省,  锦州市, Jinzhou,1061853,551420,221678
辽宁省,  营口市, Yingkou,2761973,2271851,199363
辽宁省,  阜新市, Fuxin,685044,405591,138040
辽宁省,  辽阳市, Liaoyang,1185029,894399,132699
辽宁省,  盘锦市, Panjin,1309203,1004460,109803
辽宁省,  铁岭市, Tieling,910215,534246,167509
辽宁省,  朝阳市, Chaoyang,1377973,380554,182900
辽宁省,  葫芦岛市, Huludao,1163736,723520,166283
吉林省,  长春市, Changchun,3259300,1499020,591247
吉林省,  吉林市, Jilin,1751000,1257000,230000
吉林省,  四平市, Siping,582988,317324,112130
吉林省,  辽源市, Liaoyuan,295063,174051,60181
吉林省,  通化市, Tonghua,490414,289199,62417
吉林省,  白山市, Baishan,390202,209246,78334
吉林省,  松原市, Songyuan,710777,357916,135383
吉林省,  白城市, Baicheng,654500,334930,114347
黑龙江省,  哈尔滨市, Harbin,2955514,1175803,682444
黑龙江省,  齐齐哈尔市, Qiqihar,1126880,578226,234432
黑龙江省,  鸡西市, Jixi,543888,355020,92665
黑龙江省,  鹤岗市, Hegang,524878,406479,58820
黑龙江省,  双鸭山市, Shuangyashan,508632,356910,73277
黑龙江省,  大庆市, Daqing,2363233,1940734,161680
黑龙江省,  伊春市, Yichun,472389,344696,67310
黑龙江省,  佳木斯市, Jiamusi,597819,216334,160609
黑龙江省,  七台河市, Qitaihe,301224,216914,42043
黑龙江省,  牡丹江市, Mudanjiang,776710,444792,151413
黑龙江省,  黑河市, Heihe,532594,351762,79429
黑龙江省,  绥化市, Suihua,848094,412693,205707
上海市,上海市,Shanghai,18488109,8415199,3014085
江苏省,  南京市, Nanjing,7472669,3658320,1188897
江苏省,  无锡市, Wuxi,8640720,6150278,970879
江苏省,  徐州市, Xuzhou,4528542,2605917,887578
江苏省,  常州市, Changzhou,6250919,4663599,665952
江苏省,  苏州市, Suzhou,17193090,12353753,1835648
江苏省,  南通市, Nantong,6585292,4503896,944888
江苏省,  连云港市, Lianyungang,3194525,2164188,468100
江苏省,  淮安市, Huai'an,2762571,1745133,453176
江苏省,  盐城市, Yancheng,4825862,3219512,717560
江苏省,  扬州市, Y angzhou,3316720,2146640,516646
江苏省,  镇江市, Zhenjiang,3067996,2161338,394140
江苏省,  泰州市, Taizhou,3775239,2681970,523006
江苏省,  宿迁市, Suqian,3128178,2130508,464140
浙江省,  杭州市, Hangzhou,9871300,4356923,1912971
浙江省,  宁波市, Ningbo,10317964,7238621,1295263
浙江省,  温州市, Wenzhou,5807216,3151605,1420355
浙江省,  嘉兴市, Jiaxing,7225646,5577363,707233
浙江省,  湖州市, Huzhou,3849216,2647780,491729
浙江省,  绍兴市, Shaoxing,5599291,4109128,672463
浙江省,  金华市, Jinhua,5536118,3497707,895315
浙江省,  衢州市, Quzhou,2396520,1778456,285715
浙江省,  舟山市, Zhoushan,1920184,1484404,147162
浙江省,  台州市, Taizhou,4394454,2735615,879275
浙江省,  丽水市, Lishui,1507210,903533,288170
安徽省,  合肥市, Hefei,5395426,2705367,886361
安徽省,  芜湖市, Wuhu,2683362,1880178,341362
安徽省,  蚌埠市, Bengbu,1253508,602011,263346
安徽省,  淮南市, Huainan,1126165,600102,249487
安徽省,  马鞍山市, Ma'anshan,2553010,2075753,202396
安徽省,  淮北市, Huaibei,925189,580396,163078
安徽省,  铜陵市, Tongling,1167012,921089,99145
安徽省,  安庆市, Anqing,1636326,982748,328176
安徽省,  黄山市, Huangshan,533258,252106,123265
安徽省,  滁州市, Chuzhou,3285290,2480657,345104
安徽省,  阜阳市, Fuyang,2097629,802695,649078
安徽省,  宿州市, Suzhou,1288985,488108,401795
安徽省,  六安市, Lu'an,1704233,944029,360735
安徽省,  亳州市, Bozhou,1096225,367508,386075
安徽省,  池州市, Chizhou,1130870,891592,111361
安徽省,  宣城市, Xuancheng,2001366,1438335,260574
福建省,  福州市, Fuzhou,6041044,3369040,1171088
福建省,  厦门市, Xiamen,3607258,1703671,791564
福建省,  莆田市, Putian,1636792,878224,434732
福建省,  三明市, Sanming,1856958,1306105,273247
福建省,  泉州市, Quanzhou,6425333,4169813,1255412
福建省,  漳州市, Zhangzhou,3508607,1999044,727785
福建省,  南平市, Nanping,1370372,733260,300578
福建省,  龙岩市, Longyan,1560049,928447,349847
福建省,  宁德市, Ningde,3145164,2400757,403940
江西省,  南昌市, Nanchang,3070132,1391488,584904
江西省,  景德镇市, Jingdezhen,749724,442814,155844
江西省,  萍乡市, Pingxiang,877000,552000,176600
江西省,  九江市, Jiujiang,2810107,2003508,390580
江西省,  新余市, Xinyu,1051435,834707,92412
江西省,  鹰潭市, Yingtan,663639,452943,92518
江西省,  赣州市, Ganzhou,3011665,1612703,675210
江西省,  吉安市, Ji'an,1571112,921233,302847
江西省,  宜春市, Yichun,2783818,1965801,393138
江西省,  抚州市, Fuzhou,1289594,747133,264838
江西省,  上饶市, Shangrao,2377157,1400272,499234
山东省,  济南市, Jinan,5408519,2807205,1042900
山东省,  青岛市, Qingdao,6228675,3238874,1086238
山东省,  淄博市, Zibo,4350269,3467572,429221
山东省,  枣庄市, Zaozhuang,2121577,1450709,323564
山东省,  东营市, Dongying,4085311,3502257,230738
山东省,  烟台市, Yantai,6181297,4654351,624597
山东省,  潍坊市, Weifang,7600894,5626839,828479
山东省,  济宁市, Jining,4316435,2787171,737502
山东省,  泰安市, Tai'an,2756576,1895138,410230
山东省,  威海市, Weihai,1826169,1123741,277901
山东省,  日照市, Rizhao,2982835,2328298,277784
山东省,  临沂市, Linyi,6326362,4323706,982571
山东省,  德州市, Dezhou,3112921,2081557,457639
山东省,  聊城市, Liaocheng,7086703,6018261,508598
山东省,  滨州市, Binzhou,11789298,10998287,387087
山东省,  菏泽市, Heze,3184832,1755896,759984
河南省,  郑州市, Zhengzhou,6520429,2775017,1375014
河南省,  开封市, Kaifeng,1386575,551551,401697
河南省,  洛阳市, Luoyang,4658657,3319867,606872
河南省,  平顶山市, Pingdingshan,2398008,1565826,422564
河南省,  安阳市, Anyang,2449566,1443623,523557
河南省,  鹤壁市, Hebi,700265,388403,136985
河南省,  新乡市, Xinxiang,2980205,1747056,617560
河南省,  焦作市, Jiaozuo,2749187,2072491,335352
河南省,  濮阳市, Puyang,1342527,675360,334797
河南省,  许昌市, Xuchang,1708222,941364,410952
河南省,  漯河市, Luohe,933872,484146,212849
河南省,  三门峡市, Sanmenxia,1516847,1068802,169161
河南省,  南阳市, Nanyang,3235333,1573713,822600
河南省,  商丘市, Shangqiu,2127647,843757,678925
河南省,  信阳市, Xinyang,1681350,592736,597045
河南省,  周口市, Zhoukou,1826919,572986,669673
河南省,  驻马店市, Zhumadian,1686267,631701,577833
湖北省,  武汉市, Wuhan,7554445,3307989,1474038
湖北省,  黄石市, Huangshi,1832124,1391566,229442
湖北省,  十堰市, Shiyan,1190289,668645,259528
湖北省,  宜昌市, Yichang,2491495,1741976,359514
湖北省,  襄阳市, Xiangyang,1948202,1106951,427609
湖北省,  鄂州市, Ezhou,799737,577602,105292
湖北省,  荆门市, Jingmen,1459627,1015834,211328
湖北省,  孝感市, Xiaogan,1753660,1094523,363784
湖北省,  荆州市, Jingzhou,1971705,1087907,458003
湖北省,  黄冈市, Huanggang,2034914,1216004,457715
湖北省,  咸宁市, Xianning,1226289,729585,261115
湖北省,  随州市, Suizhou,533580,255846,155151
湖南省,  长沙市, Changsha,5329436,2122308,1536401
湖南省,  株洲市, Zhuzhou,1409374,668704,376736
