省份,城市,City,专利授权数,发明
北京市,北京市,Beijing,193973,107875
天津市,天津市,Tianjin,59154,14319
河北省,  石家庄市, Shijiazhuang,19022,4137
河北省,  唐山市, Tangshan,11128,1730
河北省,  秦皇岛市, Qinhuangdao,3567,1178
河北省,  邯郸市, Handan,6636,1024
河北省,  邢台市, Xingtai,7606,653
河北省,  保定市, Baoding,14669,2105
河北省,  张家口市, Zhangjiakou,2465,309
河北省,  承德市, Chengde,2200,305
河北省,  沧州市, Cangzhou,8934,1027
河北省,  廊坊市, Langfang,10200,1206
河北省,  衡水市, Hengshui,4881,457
山西省,  太原市, Taiyuan,14136,4506
山西省,  大同市, Datong,1205,209
山西省,  阳泉市, Yangquan,667,115
山西省,  长治市, Changzhi,2415,301
山西省,  晋城市, Jincheng,1483,174
山西省,  朔州市, Shuozhou,493,54
山西省,  晋中市, Jinzhong,2387,429
山西省,  运城市, Yuncheng,2248,339
山西省,  忻州市, Xinzhou,817,167
山西省,  临汾市, Linfen,1334,129
山西省,  吕梁市, Lvliang,1278,134
内蒙古自治区,  呼和浩特市, Hohhot,6067,1457
内蒙古自治区,  包头市, Baotou,3905,613
内蒙古自治区,  乌海市, Wuhai,702,271
内蒙古自治区,  赤峰市, Chifeng,1585,152
内蒙古自治区,  通辽市, Tongliao,1016,131
内蒙古自治区,  鄂尔多斯市, Erdos,4007,484
内蒙古自治区,  呼伦贝尔市, Hulunbuir,1402,206
内蒙古自治区,  巴彦淖尔市, Bayannur,859,61
内蒙古自治区,  乌兰察布市, Ulanqab,1028,83
辽宁省,  沈阳市, Shenyang,26435,5946
辽宁省,  大连市, Dalian,22057,4514
辽宁省,  鞍山市, Anshan,3497,780
辽宁省,  抚顺市, Fushun,1627,239
辽宁省,  本溪市, Benxi,1128,214
辽宁省,  丹东市, Dandong,1844,165
辽宁省,  锦州市, Jinzhou,1532,257
辽宁省,  营口市, Yingkou,2146,200
辽宁省,  阜新市, Fuxin,1127,259
辽宁省,  辽阳市, Liaoyang,1054,88
辽宁省,  盘锦市, Panjin,1333,145
辽宁省,  铁岭市, Tieling,1226,51
辽宁省,  朝阳市, Chaoyang,1499,84
辽宁省,  葫芦岛市, Huludao,1127,127
吉林省,  长春市, Changchun,20331,6652
吉林省,  吉林市, Jilin,2248,507
吉林省,  四平市, Siping,723,84
吉林省,  辽源市, Liaoyuan,406,78
吉林省,  通化市, Tonghua,682,51
吉林省,  白山市, Baishan,351,25
吉林省,  松原市, Songyuan,566,30
吉林省,  白城市, Baicheng,494,60
黑龙江省,  哈尔滨市, Harbin,17754,6502
黑龙江省,  齐齐哈尔市, Qiqihar,1806,315
黑龙江省,  鸡西市, Jixi,493,59
黑龙江省,  鹤岗市, Hegang,361,27
黑龙江省,  双鸭山市, Shuangyashan,310,16
黑龙江省,  大庆市, Daqing,2323,597
黑龙江省,  伊春市, Yichun,373,29
黑龙江省,  佳木斯市, Jiamusi,1178,201
黑龙江省,  七台河市, Qitaihe,492,22
黑龙江省,  牡丹江市, Mudanjiang,986,122
黑龙江省,  黑河市, Heihe,429,26
黑龙江省,  绥化市, Suihua,1710,108
上海市,上海市,Shanghai,159115,44345
