省份,城市,City,细颗粒物年平均浓度微克立方米,空气质量优良天数比例,污水处理厂集中处理率,生活垃圾无害化处理率
北京市,北京市,Beijing,32,74.20,97.30,100.00
天津市,天津市,Tianjin,41,66.80,98.20,100.00
河北省,  石家庄市, Shijiazhuang,44,62.00,99.80,100.00
河北省,  唐山市, Tangshan,40,68.22,99.37,100.00
河北省,  秦皇岛市, Qinhuangdao,31,80.80,97.59,100.00
河北省,  邯郸市, Handan,46,64.90,99.54,100.00
河北省,  邢台市, Xingtai,45,57.80,,
河北省,  保定市, Baoding,41,63.00,99.80,100.00
河北省,  张家口市, Zhangjiakou,18,86.60,99.13,100.00
河北省,  承德市, Chengde,23,82.19,97.14,100.00
河北省,  沧州市, Cangzhou,44,62.19,99.99,100.00
河北省,  廊坊市, Langfang,40,65.50,99.00,100.00
河北省,  衡水市, Hengshui,44,60.00,99.74,100.00
山西省,  太原市, Taiyuan,41,64.38,100.00,100.00
山西省,  大同市, Datong,27,85.80,98.03,100.00
山西省,  阳泉市, Yangquan,38,77.80,100.00,100.00
山西省,  长治市, Changzhi,95.74,100.00,,
山西省,  晋城市, Jincheng,35,68.80,99.94,100.00
山西省,  朔州市, Shuozhou,31,81.10,96.60,100.00
山西省,  晋中市, Jinzhong,37,60.00,62.00,100.00
山西省,  运城市, Yuncheng,49,64.10,97.59,100.00
山西省,  忻州市, Xinzhou,37,76.40,97.17,100.00
山西省,  临汾市, Linfen,49,60.50,99.72,100.00
山西省,  吕梁市, Lvliang,26,79.20,,
内蒙古自治区,  呼和浩特市, Hohhot,29,80.00,97.44,100.00
内蒙古自治区,  包头市, Baotou,26,78.63,96.33,100.00
内蒙古自治区,  乌海市, Wuhai,26,83.30,98.53,100.00
内蒙古自治区,  赤峰市, Chifeng,22,93.90,97.94,100.00
内蒙古自治区,  通辽市, Tongliao,28,89.00,98.97,100.00
内蒙古自治区,  鄂尔多斯市, Erdos,20,86.80,99.45,100.00
内蒙古自治区,  呼伦贝尔市, Hulunbuir,18,100.00,99.00,100.00
内蒙古自治区,  巴彦淖尔市, B ayannur,26,85.80,98.76,100.00
内蒙古自治区,  乌兰察布市, Ulanqab,23,90.70,100.00,99.31
辽宁省,  沈阳市, Shenyang,33,88.20,98.79,100.00
辽宁省,  大连市, Dalian,29,87.40,98.19,100.00
辽宁省,  鞍山市, Anshan,35,88.80,96.72,100.00
辽宁省,  抚顺市, Fushun,35,81.90,90.17,100.00
辽宁省,  本溪市, Benxi,32,95.60,99.16,100.00
辽宁省,  丹东市, Dandong,26,94.20,92.96,100.00
辽宁省,  锦州市, Jinzhou,38,79.70,100.00,100.00
辽宁省,  营口市, Yingkou,34,85.80,96.02,100.00
辽宁省,  阜新市, Fuxin,31,81.60,100.00,98.81
辽宁省,  辽阳市, Liaoyang,34,89.80,100.00,100.00
辽宁省,  盘锦市, Panjin,29,90.10,100.00,100.00
辽宁省,  铁岭市, Tieling,35,89.60,88.13,100.00
辽宁省,  朝阳市, Chaoyang,29,88.20,100.00,100.00
辽宁省,  葫芦岛市, Huludao,35,77.80,99.04,100.00
吉林省,  长春市, Changchun,32,86.03,100.00,100.00
吉林省,  吉林市, Jilin,32,89.00,,
吉林省,  四平市, Siping,32,87.67,100.00,100.00
吉林省,  辽源市, Liaoyuan,30,88.70,96.61,100.00
吉林省,  通化市, Tonghua,22,96.70,99.05,100.00
吉林省,  白山市, Baishan,23,96.90,97.76,100.00
吉林省,  松原市, Songyuan,30,86.80,100.00,100.00
吉林省,  白城市, Baicheng,97.26,100.00,,
黑龙江省,  哈尔滨市, Harbin,36,84.90,96.04,100.00
黑龙江省,  齐齐哈尔市, Qiqihar,22,92.50,94.09,100.00
黑龙江省,  鸡西市, Jixi,28,93.20,100.00,
黑龙江省,  鹤岗市, Hegang,20,98.36,99.18,100.00
黑龙江省,  双鸭山市, Shuangyashan,24,95.60,97.73,
黑龙江省,  大庆市, Daqing,26,92.00,83.66,100.00
黑龙江省,  伊春市, Yichun,22,98.30,98.40,100.00
黑龙江省,  佳木斯市, Jiamusi,27,93.70,100.00,95.00
黑龙江省,  七台河市, Qitaihe,28,93.00,95.28,100.00
黑龙江省,  牡丹江市, Mudanjiang,28,95.10,100.00,
黑龙江省,  黑河市, Heihe,17,98.60,97.07,100.00
黑龙江省,  绥化市, Suihua,38,88.10,99.66,100.00
上海市,上海市,Shanghai,28,87.70,100.00,
江苏省,  南京市, Nanjing,29,81.90,100.00,100.00
江苏省,  无锡市, Wuxi,28,82.50,97.78,100.00
江苏省,  徐州市, Xuzhou,43,66.00,95.20,100.00
江苏省,  常州市, Changzhou,34,78.80,93.80,100.00
江苏省,  苏州市, Suzhou,29,81.00,93.90,100.00
江苏省,  南通市, Nantong,27,83.60,97.02,100.00
江苏省,  连云港市, Lianyungang,32,78.90,98.16,100.00
江苏省,  淮安市, Huai'an,36,79.50,93.36,100.00
江苏省,  盐城市, Yancheng,28,83.40,95.97,100.00
江苏省,  扬州市, Yangzhou,34,77.10,95.70,100.00
江苏省,  镇江市, Zhenjiang,37,75.70,95.53,100.00
江苏省,  泰州市, Taizhou,34,80.50,97.74,100.00
江苏省,  宿迁市, Suqian,40,75.00,98.43,100.00
浙江省,  杭州市, Hangzhou,31,84.40,97.63,100.00
浙江省,  宁波市, Ningbo,22,93.70,98.46,100.00
浙江省,  温州市, Wenzhou,25,97.53,98.16,100.00
浙江省,  嘉兴市, Jiaxing,29,83.60,98.56,100.00
浙江省,  湖州市, Huzhou,34,79.50,99.00,100.00
浙江省,  绍兴市, Shaoxing,28,94.50,98.23,100.00
浙江省,  金华市, Jinhua,27,93.70,98.43,100.00
浙江省,  衢州市, Quzhou,31,94.00,97.55,100.00
浙江省,  舟山市, Zhoushan,17,96.70,97.36,100.00
浙江省,  台州市, Taizhou,22,97.90,97.63,100.00
浙江省,  丽水市, Lishui,20,99.80,98.28,100.00
安徽省,  合肥市, Hefei,34,86.02,96.02,100.00
安徽省,  芜湖市, Wuhu,34,83.30,96.14,
安徽省,  蚌埠市, Bengbu,38,80.80,95.95,100.00
安徽省,  淮南市, Huainan,39,80.50,,
安徽省,  马鞍山市, Ma'anshan,35,83.60,95.84,100.00
安徽省,  淮北市, Huaibei,42,70.10,98.52,100.00
安徽省,  铜陵市, Tongling,33,90.10,98.84,100.00
安徽省,  安庆市, Anqing,34,85.80,96.22,100.00
