省份,城市,City,行政区域土地面积
河北省,  辛集市, Xinji,951
河北省,  晋州市, Jinzhou,619
河北省,  新乐市, Xinle,525
河北省,  遵化市, Zunhua,1514
河北省,  迁安市, Qian'an,1227
河北省,  滦州市, Luanzhou,1027
河北省,  武安市, Wu'an,1818
河北省,  南宫市, Nangong,863
河北省,  沙河市, Shahe,830
河北省,  涿州市, Zhuozhou,751
河北省,  定州市, Dingzhou,1284
河北省,  安国市, Anguo,486
河北省,  高碑店市, Gaobeidian,620
河北省,  平泉市, Pingquan,3294
河北省,  泊头市, Botou,1009
河北省,  任丘市, Renqiu,872
河北省,  黄骅市, Huanghua,2425
河北省,  河间市, Hejian,1322
河北省,  霸州市, Bazhou,802
河北省,  三河市, Sanhe,634
河北省,  深州市, Shenzhou,1245
山西省,  古交市, Gujiao,1512
山西省,  高平市, Gaoping,980
山西省,  怀仁市, Huairen,1234
山西省,  介休市, Jiexiu,741
山西省,  永济市, Yongji,1208
山西省,  河津市, Hejin,593
山西省,  原平市, Yuanping,2550
山西省,  侯马市, Houma,220
山西省,  霍州市, Huozhou,765
山西省,  孝义市, Xiaoyi,938
山西省,  汾阳市, Fenyang,1181
内蒙古自治区,  霍林郭勒市, Huolinguole,585
内蒙古自治区,  满洲里市, Manzhoulii,466
内蒙古自治区,  牙克石市, Yakeshi,27803
内蒙古自治区,  扎兰屯市, Zhalantun,16784
内蒙古自治区,  额尔古纳市, Eerguna,28959
内蒙古自治区,  根河市, Genhe,20010
内蒙古自治区,  丰镇市, Fengzhen,2722
内蒙古自治区,  乌兰浩特市, Wulanhaote,2728
内蒙古自治区,  阿尔山市, Aershan,7398
内蒙古自治区,  二连浩特市, Erlianhaote,4013
内蒙古自治区,  锡林浩特市, Xilinhaote,14778
辽宁省,  新民市, Xinmin,3318
辽宁省,  瓦房店市, Wafangdian,3747
辽宁省,  庄河市, Zhuanghe,4115
辽宁省,  海城市, Haicheng,2566
辽宁省,  东港市, Donggang,2399
辽宁省,  凤城市, Fengcheng,5515
辽宁省,  凌海市, Linghai,2579
辽宁省,  北镇市, Beizhen,1693
辽宁省,  盖州市, Gaizhou,2946
辽宁省,  大石桥市, Dashiqiao,1610
辽宁省,  灯塔市, Dengta,1170
辽宁省,  调兵山市, Diaobingshan,262
辽宁省,  开原市, Kaiyuan,2838
辽宁省,  北票市, Beipiao,4419
辽宁省,  凌源市, Lingyuan,3282
辽宁省,  兴城市, Xingcheng,2103
吉林省,  榆树市, Yushu,4712
吉林省,  德惠市, Dehui,3461
吉林省,  公主岭市, Gongzhuling,4141
吉林省,  蛟河市, Jiaohe,6370
吉林省,  桦甸市, Huadian,6625
吉林省,  舒兰市, Shulan,4560
吉林省,  磐石市, Panshi,3861
吉林省,  双辽市, Shuangliao,3097
吉林省,  梅河口市, Meihekou,2179
吉林省,  集安市, Ji'an,3349
吉林省,  临江市, Linjiang,3009
吉林省,  扶余市, Fuyu,4388
吉林省,  洮南市, Taonan,5017
吉林省,  大安市, Daan,4879
吉林省,  延吉市, Yanji,1748
吉林省,  图们市, Tumen,1143
吉林省,  敦化市, Dunhua,11957
吉林省,  珲春市, Hunchun,5171
吉林省,  龙井市, Longjing,2207
吉林省,  和龙市, Helong,5069
黑龙江省,  尚志市, Shangzhi,8891
黑龙江省,  五常市, Wuchang,7499
黑龙江省,  讷河市, Nehe,6660
黑龙江省,  虎林市, Hulin,9334
黑龙江省,  密山市, Mishan,7728
黑龙江省,  铁力市, Tieli,3776
黑龙江省,  同江市, Tongjiang,6229
黑龙江省,  富锦市, Fujin,8224
黑龙江省,  抚远市, Fuyuan,6041
黑龙江省,  绥芬河市, Suifenhe,422
黑龙江省,  海林市, Hailin,8712
黑龙江省,  宁安市, Ning'an,7201
黑龙江省,  穆棱市, Muling,6041
黑龙江省,  东宁市, Dongning,7117
黑龙江省,  北安市, Bei'an,7194
黑龙江省,  五大连池市, Wudalianchi,8745
黑龙江省,  嫩江市, Nenjiang,15211
黑龙江省,  安达市, Anda,3586
黑龙江省,  肇东市, Zhaodong,4323
黑龙江省,  海伦市, Hailun,4642
黑龙江省,  漠河市, Mohe,18428
江苏省,  江阴市, Jiangyin,987
江苏省,  宜兴市, Yixing,1997
江苏省,  新沂市, Xinyi,1592
江苏省,  邳州市, Pizhou,2085
江苏省,  溧阳市, Liyang,1536
江苏省,  常熟市, Changshu,1276
江苏省,  张家港市, Zhangjiagang,987
江苏省,  昆山市, Kunshan,932
江苏省,  太仓市, Taicang,810
江苏省,  启东市, Qidong,1681
江苏省,  如皋市, Rugao,1574
江苏省,  海安市, Haian,1184
江苏省,  东台市, Dongtai,3558
江苏省,  仪征市, Yizheng,902
江苏省,  高邮市, Gaoyou,1922
江苏省,  丹阳市, Danyang,1047
江苏省,  扬中市, Yangzhong,327
江苏省,  句容市, Jurong,1378
江苏省,  兴化市, Xinghua,2395
