省份,城市,City,规模以上工业企业单位数
河北省,  辛集市, Xinji,282
河北省,  晋州市, Jinzhou,251
河北省,  新乐市, Xinle,148
河北省,  遵化市, Zunhua,167
河北省,  迁安市, Qian'an,166
河北省,  滦州市, Luanzhou,93
河北省,  武安市, Wu'an,209
河北省,  南宫市, Nangong,69
河北省,  沙河市, Shahe,112
河北省,  涿州市, Zhuozhou,144
河北省,  定州市, Dingzhou,227
河北省,  安国市, Anguo,121
河北省,  高碑店市, Gaobeidian,98
河北省,  平泉市, Pingquan,62
河北省,  泊头市, Botou,257
河北省,  任丘市, Renqiu,463
河北省,  黄骅市, Huanghua,347
河北省,  河间市, Hejian,279
河北省,  霸州市, Bazhou,285
河北省,  三河市, Sanhe,162
河北省,  深州市, Shenzhou,115
山西省,  古交市, Gujiao,59
山西省,  高平市, Gaoping,131
山西省,  怀仁市, Huairen,143
山西省,  介休市, Jiexiu,187
山西省,  永济市, Yongji,95
山西省,  河津市, Hejin,139
山西省,  原平市, Yuanping,75
山西省,  侯马市, Houma,55
山西省,  霍州市, Huozhou,31
山西省,  孝义市, Xiaoyi,181
山西省,  汾阳市, Fenyang,78
内蒙古自治区,  霍林郭勒市, Huolinguole,43
内蒙古自治区,  满洲里市, Manzhouli,10
内蒙古自治区,  牙克石市, Yakeshi,9
内蒙古自治区,  扎兰屯市, Zhalantun,13
内蒙古自治区,  额尔古纳市, Eerguna,6
内蒙古自治区,  根河市, Genhe,5
内蒙古自治区,  丰镇市, Fengzhen,44
内蒙古自治区,  乌兰浩特市, Wulanhaote,41
内蒙古自治区,  阿尔山市, Aershan,1
内蒙古自治区,  二连浩特市, Erlianhaote,15
内蒙古自治区,  锡林浩特市, Xilinhaote,50
辽宁省,  新民市, Xinmin,125
辽宁省,  瓦房店市, Wafangdian,267
辽宁省,  庄河市, Zhuanghe,156
辽宁省,  海城市, Haicheng,349
辽宁省,  东港市, Donggang,160
辽宁省,  凤城市, Fengcheng,103
辽宁省,  凌海市, Linghai,50
辽宁省,  北镇市, Beizhen,38
辽宁省,  盖州市, Gaizhou,87
辽宁省,  大石桥市, Dashiqiao,287
辽宁省,  灯塔市, Dengta,58
辽宁省,  调兵山市, Diaobingshan,37
辽宁省,  开原市, Kaiyuan,48
辽宁省,  北票市, Beipiao,72
辽宁省,  凌源市, Lingyuan,60
辽宁省,  兴城市, Xingcheng,57
吉林省,  榆树市, Yushu,51
吉林省,  德惠市, Dehui,62
吉林省,  公主岭市, Gongzhuling,111
吉林省,  蛟河市, Jiaohe,36
