省份,城市,City,规模以上工业资产总计_全市,规模以上工业资产总计_市辖区,规模以上工业利润总额_全市,规模以上工业利润总额_市辖区
北京市,北京市,Beijing,729939536,729939536,16840812,16840812
天津市,天津市,Tianjin,268418640,268418640,15010822,15010822
河北省,  石家庄市, Shijiazhuang,90602290,45407577,2959102,2057383
河北省,  唐山市, Tangshan,151694802,87252528,1064177,784087
河北省,  秦皇岛市, Qinhuangdao,29053618,20426678,1063047,875417
河北省,  邯郸市, Handan,81932351,32760191,659077,538409
河北省,  邢台市, Xingtai,44332678,18745805,1014361,517014
河北省,  保定市, Baoding,65594160,38592700,964905,241116
河北省,  张家口市, Zhangjiakou,39227296,23791209,891664,303125
河北省,  承德市, Chengde,28489231,8741986,975145,22109
河北省,  沧州市, Cangzhou,51744545,7865278,1022303,58652
河北省,  廊坊市, Langfang,32940048,9228156,451773,357925
河北省,  衡水市, Hengshui,19788631,9057522,594230,398640
山西省,  太原市, Taiyuan,78937407,62182870,2471141,2266143
山西省,  大同市, Datong,62822636,50546112,1391484,891206
山西省,  阳泉市, Yangquan,32439671,24670279,529768,444759
山西省,  长治市, Changzhi,76059335,27693321,4774897,1317746
山西省,  晋城市, Jincheng,62472209,3547530,2755145,-5435
山西省,  朔州市, Shuozhou,36436627,19815890,2640581,1532480
山西省,  晋中市, Jinzhong,44997832,22914431,804099,-38945
山西省,  运城市, Yuncheng,36378722,2096026,1357274,1959
山西省,  忻州市, Xinzhou,32537105,2474833,2132263,30994
山西省,  临汾市, Linfen,48446385,3897941,2591245,396030
山西省,  吕梁市, Lvliang,73426110,6785789,6742583,757279
内蒙古自治区,  呼和浩特市, Hohhot,48403477,11421170,3062988,873183
内蒙古自治区,  包头市, Baotou,69480737,58514027,3112831,2533170
内蒙古自治区,  乌海市, Wuhai,25294795,25294795,-91581,-91581
内蒙古自治区,  赤峰市, Chifeng,24584959,10353296,371455,837
内蒙古自治区,  通辽市, Tongliao,22108746,2539521,1158056,141511
内蒙古自治区,  鄂尔多斯市, Erdos,151848520,18618587,17697498,2447486
内蒙古自治区,  呼伦贝尔市, Hulunbuir,14839448,2632031,1418453,181263
内蒙古自治区,  巴彦淖尔市, B ayannur,17461892,4555959,1004856,418404
内蒙古自治区,  乌兰察布市, Ulanqab,20399760,2449433,481349,-3850
辽宁省,  沈阳市, Shenyang,,,,
辽宁省,  大连市, Dalian,102188297,65866080,5202865,4186482
辽宁省,  鞍山市, Anshan,47286150,36590702,966306,786327
辽宁省,  抚顺市, Fushun,11724538,10639972,268000,197258
辽宁省,  本溪市, Benxi,33174335,31448722,240651,160703
辽宁省,  丹东市, Dandong,8468374,4345028,306822,126306
辽宁省,  锦州市, Jinzhou,10478845,6965978,418300,360264
辽宁省,  营口市, Yingkou,32909732,24695881,59593,-63147
辽宁省,  阜新市, Fuxin,7738115,4011885,232469,69895
辽宁省,  辽阳市, Liaoyang,26350494,16784460,-33284,77155
辽宁省,  盘锦市, Panjin,38215000,30065000,-726000,-275000
辽宁省,  铁岭市, Tieling,10401640,1805969,141055,8329
